Stop,Stop_ID,Latitud,Longitud
FUNDICION,1,-11.833521765869813,-77.1134069578465
OVALO ZAPALLAL/SAN PEDRO,2,-11.843023105367193,-77.10170159033105
ESTABLO,3,-11.862169131562387,-77.0778637172763
PRO,4,-11.93271774760639,-77.07232194267901
NORTENO,5,-11.856781489866353,-77.08444414595633
HOSPITAL,6,-11.858022651302019,-77.0829460980413
OVALO ZAPALLAL,7,-11.843141089927007,-77.1014620573036
SANTA ROSA,8,-11.79866362669378,-77.14047122579126
VILLA ESTELA,9,-11.812206448958586,-77.12840638030114
SHANGRI-LA,10,-11.913825733595084,-77.0736633825659
HOGAR,11,-11.821866440504943,-77.12247949955984
ROSA LUZ,12,-11.88016818411576,-77.06887124552881
VILLASOL,13,-11.95917691167808,-77.0687340108642
CASETA,14,-11.98216243528904,-77.06528063398528
TRES RUEDAS,15,-11.900875591910829,-77.06768109979721
SANTA LUISA,16,-11.95304806897095,-77.06965211160734
TRES POSTES/CASETA,17,-11.966448565987971,-77.06757828468267
TOTTUS,18,-11.867675146640673,-77.07235760364975
CRUCE,19,-11.836445218632935,-77.11000424380381
TOTTUS/SAN PEDRO,20,-11.864527560196388,-77.0744324096468
ARICA,21,-11.853213710610527,-77.0888838179063
